,userId,movieId,rating
1,1,1,4.0
2,15,1,2.5
3,17,1,4.5
4,18,1,3.5
5,19,1,4.0
6,21,1,3.5
7,27,1,3.0
8,32,1,3.0
9,33,1,3.0
10,40,1,5.0
11,43,1,5.0
12,45,1,4.0
13,50,1,3.0
14,57,1,5.0
15,63,1,5.0
16,64,1,4.0
17,66,1,4.0
18,68,1,2.5
19,73,1,4.5
20,76,1,0.5
21,78,1,4.0
22,82,1,2.5
23,86,1,4.0
24,89,1,3.0
25,91,1,4.0
26,93,1,3.0
27,96,1,5.0
28,98,1,4.5
29,103,1,4.0
30,112,1,3.0
31,119,1,3.5
32,121,1,4.0
33,132,1,2.0
34,135,1,4.0
35,137,1,4.0
36,140,1,3.0
37,141,1,4.0
38,144,1,3.5
39,151,1,5.0
40,153,1,2.0
41,156,1,4.0
42,159,1,4.5
43,160,1,4.0
44,166,1,5.0
45,167,1,3.5
46,169,1,4.5
47,171,1,5.0
48,177,1,5.0
49,178,1,4.0
50,179,1,4.0
51,182,1,4.0
52,186,1,4.0
53,191,1,4.0
54,200,1,3.5
55,201,1,5.0
56,202,1,4.0
57,213,1,3.5
58,216,1,3.0
59,217,1,4.0
60,219,1,3.5
61,220,1,5.0
62,223,1,3.5
63,226,1,3.5
64,229,1,5.0
65,232,1,3.5
66,233,1,3.0
67,234,1,5.0
68,239,1,4.0
69,240,1,5.0
70,247,1,5.0
71,249,1,4.0
72,254,1,4.5
73,263,1,4.0
74,264,1,4.0
75,266,1,2.0
76,273,1,5.0
77,274,1,4.0
78,275,1,5.0
79,279,1,3.0
80,280,1,4.5
81,282,1,4.5
82,288,1,4.5
83,290,1,4.0
84,292,1,4.0
85,298,1,2.0
86,304,1,5.0
87,307,1,4.0
88,314,1,3.0
89,322,1,3.5
90,323,1,3.5
91,328,1,5.0
92,330,1,4.0
93,332,1,4.0
94,334,1,3.5
95,336,1,4.0
96,337,1,4.0
97,339,1,4.0
98,353,1,5.0
99,357,1,5.0
100,359,1,4.0
101,367,1,5.0
102,372,1,3.0
103,373,1,3.0
104,380,1,5.0
105,381,1,3.5
106,382,1,4.5
107,385,1,4.0
108,391,1,3.0
109,401,1,3.5
110,411,1,5.0
111,412,1,2.0
112,414,1,4.0
113,420,1,4.0
114,422,1,4.0
115,432,1,2.5
116,434,1,4.0
117,436,1,4.0
118,438,1,4.5
119,448,1,5.0
120,453,1,5.0
121,460,1,4.5
122,462,1,1.5
123,469,1,4.0
124,470,1,4.0
125,474,1,4.0
126,476,1,4.0
127,477,1,4.0
128,480,1,3.0
129,483,1,4.0
130,484,1,4.5
131,488,1,4.5
132,490,1,3.5
133,492,1,4.0
134,500,1,4.0
135,504,1,4.0
136,509,1,4.0
137,514,1,4.0
138,517,1,4.0
139,522,1,3.0
140,524,1,4.0
141,525,1,4.0
142,528,1,2.5
143,534,1,4.0
144,541,1,3.0
145,555,1,4.0
146,559,1,5.0
147,560,1,3.0
148,561,1,4.0
149,562,1,4.5
150,567,1,3.5
151,570,1,4.0
152,572,1,4.0
153,573,1,5.0
154,579,1,4.0
155,580,1,3.0
156,584,1,5.0
157,587,1,5.0
158,590,1,4.0
159,596,1,4.0
160,597,1,4.0
161,599,1,3.0
162,600,1,2.5
163,601,1,4.0
164,603,1,4.0
165,604,1,3.0
166,605,1,4.0
167,606,1,2.5
168,607,1,4.0
169,608,1,2.5
170,610,1,5.0
171,6,2,4.0
172,18,2,3.0
173,19,2,3.0
174,20,2,3.0
175,21,2,3.5
176,27,2,4.0
177,51,2,4.5
178,62,2,4.0
179,68,2,2.5
180,82,2,3.0
181,91,2,3.0
182,93,2,5.0
183,94,2,4.0
184,103,2,4.0
185,104,2,3.0
186,112,2,1.5
187,117,2,3.0
188,122,2,4.0
189,125,2,4.0
190,135,2,3.0
191,140,2,3.5
192,144,2,3.0
193,149,2,1.0
194,153,2,2.0
195,160,2,4.0
196,169,2,4.0
197,177,2,3.5
198,186,2,4.0
199,202,2,4.0
200,217,2,2.0
201,219,2,2.5
202,221,2,3.5
203,222,2,2.5
204,226,2,3.0
205,230,2,2.5
206,232,2,4.0
207,240,2,5.0
208,249,2,4.0
209,274,2,3.5
210,284,2,4.0
211,288,2,2.0
212,294,2,3.0
213,298,2,0.5
214,304,2,4.0
215,305,2,3.5
216,307,2,2.5
217,308,2,3.0
218,318,2,3.5
